State,TimeStamp,EEG_F3_Alpha,EEG_F3_Beta,EEG_F3_Theta,ECG_Burg,ECG_TimeSeries,ECG_SDNN,PupilDiameter,ECG_SDSD,ECG_RMSSD
1,2015.09.30. 13:44:45,178480.0,6140.2,86148.0,1011600.0,1401.9,477.01,3.973813559322034,290.87,525.0
1,2015.09.30. 13:44:46,133200.0,9759.5,67618.0,897710.0,1410.2,477.09,3.9967796610169484,291.4,539.32
1,2015.09.30. 13:44:47,80308.0,6458.5,45469.0,827570.0,1409.2,481.96,4.018983050847456,296.84,526.85
1,2015.09.30. 13:44:48,208490.0,6990.6,239010.0,888610.0,1415.0,484.78,4.21093220338983,303.05,517.78
1,2015.09.30. 13:44:49,41032.0,6447.4,56489.0,980090.0,1413.9,489.95,4.233936170212766,298.15,517.63
1,2015.09.30. 13:44:50,112160.0,5898.2,32369.0,933610.0,1417.2,490.22,4.219237288135595,299.02,524.41
1,2015.09.30. 13:44:51,31415.0,3717.0,36920.0,952020.0,1422.1,489.39,4.290508474576271,304.46,517.36
1,2015.09.30. 13:44:52,72904.0,5801.8,38800.0,951940.0,1412.4,486.4,4.456666666666667,301.78,503.74
1,2015.09.30. 13:44:53,39003.0,6701.9,60735.0,949010.0,1417.8,487.04,4.1745762711864405,299.2,511.58
1,2015.09.30. 13:44:54,102470.0,8804.1,22106.0,1015100.0,1423.1,490.75,4.112542372881356,292.6,513.97
1,2015.09.30. 13:44:55,80980.0,7345.4,43983.0,1254800.0,1421.6,502.66,4.186222222222222,307.12,516.21
1,2015.09.30. 13:44:56,107950.0,8674.6,68636.0,954430.0,1420.7,495.34,4.204237288135594,299.45,552.4
1,2015.09.30. 13:44:57,134420.0,9137.5,74450.0,914090.0,1398.3,496.55,4.262796610169492,298.86,551.5
1,2015.09.30. 13:44:58,130510.0,8638.8,107830.0,1053700.0,1367.5,495.08,4.258559322033896,300.3,552.57
1,2015.09.30. 13:44:59,103740.0,7553.9,98322.0,989070.0,1397.9,494.42,4.22936170212766,296.25,536.21
1,2015.09.30. 13:45:00,107900.0,7402.1,79662.0,1233800.0,1450.1,491.3,4.2492372881355935,296.4,542.86
1,2015.09.30. 13:45:01,69815.0,7823.9,118830.0,1079600.0,1485.4,491.54,4.122881355932202,292.61,549.68
1,2015.09.30. 13:45:02,99588.0,7737.6,97214.0,1030900.0,1487.8,492.65,4.168983050847458,302.27,545.11
1,2015.09.30. 13:45:03,100800.0,12143.0,39620.0,1672400.0,1490.4,489.06,4.2277966101694915,302.22,537.18
1,2015.09.30. 13:45:04,161010.0,10131.0,72429.0,946590.0,1492.9,491.21,4.076610169491525,307.81,534.46
1,2015.09.30. 13:45:05,63742.0,5128.7,45558.0,556740.0,1495.1,492.78,4.148534482758622,307.93,546.23
1,2015.09.30. 13:45:06,83821.0,7960.0,26497.0,542150.0,1496.4,492.77,4.391101694915254,314.55,540.45
1,2015.09.30. 13:45:07,201380.0,10027.0,80309.0,616340.0,1514.1,475.36,4.333297872340426,308.4,540.42
1,2015.09.30. 13:45:08,50491.0,8378.3,67332.0,583000.0,1558.0,455.69,4.141949152542372,273.41,491.45
1,2015.09.30. 13:45:09,48161.0,14170.0,50623.0,419770.0,1597.9,455.28,4.2332203389830525,267.21,506.63
1,2015.09.30. 13:45:10,238280.0,17514.0,19468.0,313120.0,1618.0,488.39,4.295784313725489,267.59,518.96
1,2015.09.30. 13:45:11,44678.0,11680.0,24885.0,270050.0,1622.6,507.13,4.2740909090909085,268.09,513.15
1,2015.09.30. 13:45:12,122600.0,5582.5,36860.0,363570.0,1626.5,508.15,4.213389830508474,267.73,503.12
1,2015.09.30. 13:45:13,177540.0,8141.7,80445.0,316040.0,1619.7,505.07,4.286186440677965,267.55,507.71
1,2015.09.30. 13:45:14,67753.0,6207.2,67118.0,293160.0,1624.0,505.58,4.145169491525426,267.37,507.43
1,2015.09.30. 13:45:15,122810.0,6048.5,173570.0,176490.0,1626.0,509.11,4.0999,267.86,518.8
1,2015.09.30. 13:45:16,42418.0,5866.8,22246.0,354060.0,1589.6,512.01,4.087083333333334,277.5,513.08
1,2015.09.30. 13:45:17,158580.0,2604.2,79125.0,493630.0,1542.1,539.89,4.006949152542372,276.35,490.88
1,2015.09.30. 13:45:18,130150.0,9226.4,147320.0,249800.0,1548.4,569.82,4.084152542372883,276.58,486.89
1,2015.09.30. 13:45:19,117620.0,9580.6,72742.0,347070.0,1586.4,563.26,4.069576271186443,269.88,494.47
1,2015.09.30. 13:45:20,225910.0,9022.7,71801.0,382160.0,1611.9,546.85,4.217881355932203,261.61,507.27
1,2015.09.30. 13:45:21,63828.0,4867.9,51812.0,6386.3,1587.1,541.26,4.202372881355934,261.37,504.39
1,2015.09.30. 13:45:22,189180.0,4547.6,42045.0,6696.3,1581.6,540.34,4.250593220338984,259.59,511.4
1,2015.09.30. 13:45:23,328730.0,7471.9,381770.0,7815.7,1559.2,546.96,4.294406779661015,252.73,521.19
1,2015.09.30. 13:45:24,69057.0,10023.0,70921.0,7992.0,1547.0,543.6,4.284406779661017,252.43,515.3
1,2015.09.30. 13:45:25,48898.0,5607.0,40808.0,9624.9,1535.8,543.85,4.091694915254236,265.02,518.98
1,2015.09.30. 13:45:26,46811.0,4047.2,12715.0,9055.0,1508.9,560.91,3.955423728813559,271.18,544.06
1,2015.09.30. 13:45:27,93932.0,6252.4,51210.0,9829.9,1507.5,571.05,3.94228813559322,248.21,507.47
1,2015.09.30. 13:45:28,173790.0,8597.3,46325.0,10603.0,1490.2,567.26,3.850169491525423,251.24,517.41
